Month,Monthly_Sales
2014-01,14161.35
2014-02,4119.82
2014-03,55526.2
2014-04,28139.56
2014-05,23634.67
2014-06,34509.0
2014-07,33500.87
2014-08,27603.51
2014-09,81496.81
2014-10,31394.94
2014-11,78297.24
2014-12,69379.84
2015-01,18085.12
2015-02,11924.27
2015-03,38621.29
2015-04,32640.48
2015-05,29325.97
2015-06,24659.68
2015-07,28524.52
2015-08,36380.93
2015-09,63704.3
2015-10,31382.16
2015-11,74699.03
2015-12,74478.48
2016-01,18432.59
2016-02,22706.42
2016-03,50832.55
2016-04,38587.14
2016-05,56457.32
2016-06,39628.19
2016-07,39108.01
2016-08,31014.4
2016-09,71848.25
2016-10,58120.42
2016-11,78454.9
2016-12,96075.07
2017-01,43860.29
2017-02,20262.32
2017-03,58739.22
2017-04,36020.17
2017-05,44095.35
2017-06,52242.56
2017-07,44490.45
2017-08,62643.41
2017-09,86487.31
2017-10,77542.48
2017-11,117383.38
2017-12,81227.62
